x,y
49,6
49,7
49,8
49,9
49,10
49,11
49,12
49,13
49,14
49,15
49,16
49,17
49,18
49,19
49,20
49,21
49,22
49,23
49,24
49,25
49,26
49,27
49,28
49,29
49,30
49,31
49,32
49,33
49,34
49,35
49,36
49,37
49,38
49,39
49,40
49,41
49,42
49,43
49,44
49,45
49,46
49,47
49,48
49,49
49,50
49,51
49,52
49,53
49,54
49,55
49,56
49,57
49,58
49,59
49,60
49,61
49,62
49,63
49,64
49,65
49,66
49,67
49,68
49,69
49,70
49,71
49,72
49,73
49,74
49,75
49,76
49,77
49,78
49,79
49,80
49,81
49,82
49,83
49,84
49,85
49,86
49,87
49,88
49,89
49,90
49,91
49,92
49,93
49,94
50,94
51,94
52,94
53,94
54,94
55,94
56,94
57,94
58,94
59,94
60,94
61,94
62,94
63,94
64,94
65,94
66,94
67,94
68,94
69,94
70,94
71,94
72,94
72,93
72,92
72,91
72,90
72,89
72,88
72,87
72,86
72,85
72,84
71,84
70,84
69,84
68,84
67,84
66,84
65,84
64,84
63,84
62,84
61,84
60,84
59,84
59,83
59,82
59,81
59,80
59,79
59,78
59,77
59,76
59,75
59,74
59,73
59,72
59,71
59,70
59,69
59,68
59,67
59,66
59,65
59,64
59,63
59,62
59,61
59,60
59,59
59,58
59,57
59,56
59,55
59,54
59,53
59,52
59,51
59,50
59,49
58,49
57,49
56,49
55,49
54,49
53,49
52,49
51,49
50,49
49,49
48,49
47,49
46,49
45,49
44,49
43,49
42,49
41,49
40,49
39,49
38,49
38,50
38,51
38,52
38,53
38,54
38,55
38,56
38,57
38,58
38,59
38,60
38,61
38,62
38,63
38,64
38,65
38,66
38,67
38,68
38,69
38,70
38,71
38,72
38,73
38,74
38,75
38,76
38,77
38,78
38,79
38,80
38,81
38,82
37,82
36,82
35,82
34,82
33,82
32,82
31,82
30,82
29,82
28,82
27,82
26,82
25,82
24,82
23,82
22,82
21,82
20,82
19,82
18,82
17,82
16,82
15,82
14,82
13,82
12,82
11,82
10,82
10,81
10,80
10,79
10,78
10,77
10,76
10,75
10,74
10,73
10,72
11,72
12,72
13,72
14,72
15,72
16,72
16,73
16,74
16,75
16,76
16,77
16,78
16,79
16,80
15,80
14,80
13,80
12,80
11,80
10,80
10,81
10,82
11,82
12,82
13,82
14,82
15,82
16,82
17,82
18,82
19,82
20,82
21,82
22,82
23,82
24,82
25,82
26,82
27,82
28,82
29,82
30,82
31,82
32,82
33,82
34,82
35,82
36,82
37,82
38,82
38,81
38,80
38,79
38,78
38,77
38,76
38,75
38,74
38,73
38,72
38,71
38,70
38,69
38,68
38,67
38,66
38,65
38,64
38,63
38,62
38,61
38,60
39,60
40,60
41,60
42,60
43,60
44,60
45,60
46,60
47,60
48,60
49,60
50,60
51,60
52,60
53,60
54,60
55,60
56,60
57,60
58,60
59,60
60,60
61,60
61,59
61,58
61,57
61,56
61,55
61,54
61,53
61,52
61,51
61,50
61,49
61,48
62,48
63,48
64,48
65,48
66,48
67,48
68,48
69,48
70,48
71,48
72,48
73,48
74,48
75,48
76,48
77,48
78,48
78,47
78,46
78,45
78,44
78,43
78,42
78,41
78,40
78,39
78,38
78,37
78,36
78,35
78,34
78,33
78,32
78,31
78,30
78,29
78,28
78,27
77,27
76,27
75,27
74,27
73,27
72,27
72,28
72,29
72,30
72,31
72,32
72,33
72,34
72,35
72,36
72,37
72,38
72,39
72,40
72,41
72,42
72,43
72,44
72,45
72,46
73,46
74,46
75,46
76,46
77,46
78,46
78,47
78,48
78,49
78,50
78,51
78,52
78,53
78,54
78,55
78,56
78,57
78,58
78,59
78,60
78,61
78,62
78,63
78,64
78,65
78,66
78,67
78,68
78,69
78,70
78,71
78,72
78,73
78,74
78,75
78,76
78,77
78,78
78,79
78,80
78,81
78,82
77,82
76,82
75,82
74,82
73,82
72,82
71,82
70,82
69,82
68,82
67,82
66,82
65,82
64,82
63,82
62,82
61,82
60,82
59,82
59,83
59,84
59,85
59,86
59,87
59,88
59,89
59,90
59,91
59,92
59,93
58,93
57,93
56,93
55,93
54,93
53,93
52,93
51,93
